GNR 2003-006 , 2 , 0.16449182764436732 , 0.16426107101242504 , 0.16403174867268422 , 0.16380097048719278 , 0.0005422006564375081 , 0.0005420888764271492
GNR 2003-009 , 1 , 0.15423603292079324 , 0.1514826008987038 , 0.13537774571868055 , 0.1352598526379719 , 0.021550834772557037 , 0.018536363362024133
GNR 2003-010 , 2 , 0.16213568273240953 , 0.1591420157554353 , 0.14184133379219888 , 0.1417349611037344 , 0.023352406259904646 , 0.02002736419133433
GNR 2003-010 , 3 , 0.15918001784777336 , 0.1560553308176975 , 0.13775533711264 , 0.13764731519016438 , 0.024546014507786595 , 0.02108700912084549
GNR 2003-011 , 1 , 0.1569984307265645 , 0.15435326239052127 , 0.13903847466129093 , 0.1389411478769894 , 0.02060418198419034 , 0.017679089244162838
GNR 2003-011 , 2 , 0.12058062904422462 , 0.12053936397870879 , 0.11993154938614747 , 0.11989040284318242 , 0.0007297254154677857 , 0.0007295608981739976
GNR 2003-011 , 3 , 0.175186126686938 , 0.1750934314003313 , 0.15862527602672705 , 0.15854754291779338 , 0.019404331806463282 , 0.019385155071125038
GNR 2003-011 , 4 , 0.13230567885990574 , 0.1316699585605633 , 0.12711973643217545 , 0.12697589952449384 , 0.005874432596207346 , 0.005316427552618075
GNR 2003-011 , 5 , 0.12760276921251879 , 0.1274192068165384 , 0.12255620640500164 , 0.12250598407879076 , 0.005689277051001418 , 0.005538660340833057
GNR 2003-011 , 6 , 0.19934561387318217 , 0.19892401560738848 , 0.18735610138078906 , 0.18724717497207743 , 0.01450252230353255 , 0.014122534607239112
GNR 2003-012 , 1 , 0.1630469371888359 , 0.1624360582978278 , 0.15303407346141618 , 0.15290152491090092 , 0.011660406229104692 , 0.01110173686658722
GNR 2003-012 , 2 , 0.12443494806090638 , 0.12369414384291033 , 0.11807007850938223 , 0.1179665748228278 , 0.007142056333723779 , 0.006426223959104305
GNR 2003-012 , 3 , 0.13105062036897352 , 0.13017154888564963 , 0.12361383306070683 , 0.12348429839575259 , 0.008393304925186862 , 0.007546307541293817
GNR 2003-012 , 4 , 0.13266976056890822 , 0.13236572185421125 , 0.12828920524641174 , 0.12816865852641335 , 0.004968201263419569 , 0.004759485344973169
GNR 2003-013 , 1 , 0.16221904460592296 , 0.15933698494929793 , 0.1426367159582672 , 0.14253053032346819 , 0.02255216693025386 , 0.01935273548013572
GNR 2003-013 , 2 , 0.17224064496807645 , 0.17175476369610787 , 0.17163930828497065 , 0.17115418697130091 , 0.0007146368766758338 , 0.0007133507698066088
GNR 2003-014 , 1 , 0.16148641006522024 , 0.15830146939776835 , 0.13997952869266417 , 0.1398727689760324 , 0.024698682173988296 , 0.021160822113362343
GNR 2003-014 , 2 , 0.22679335352868468 , 0.2259952243466774 , 0.21031405760815547 , 0.21015543533745018 , 0.020465404482733596 , 0.01966744047759561
GNR 2003-015 , 1 , 0.16221904460592296 , 0.15933698494929793 , 0.1426367159582672 , 0.14253053032346819 , 0.02255216693025386 , 0.01935273548013572
